Age,Relationship Categories,relationship_other,Care giving experience,sole caregiver or not,hours spent for care_weekly,hours works at job,living situation,living situation_other,fund_ All the care they receive is free or donated,fund_family contributions,"fund_pension, savings, or retirement fund","fund_medicare, medicaid, SSDI, or VA benefits",fund_medical insurance,fund_long-term care insurance,fund_other,received_federal state local fund,"
lacking any support",training_support,access_support,group_support,counselling_support,respite care_support,loved one physician_support,financial_support,employer accommodation_support,support_other,unmet caregiver need_ none,unmet caregiver need_ employer accommodation,unmet caregiver need_training,unmet caregiver need_access,unmet caregiver need_groups,unmet caregiver need_counseling,unmet caregiver need_respite care,unmet caregiver need_loved one physician,unmet caregiver need_financial,unmet caregiver need_other,unmet caregiver need_none of the above,difficulties_obligation,difficulties_physical demands,difficulties_emotional stress,difficulties_life balance,difficulties_boundaries of commit to caregiving,Financial strain,difficulties_loss of sleep,difficulties_help needed not requested,difficulties_depression,difficulties_other,experience anxiety or depression,struggling with restful sleep,"
fluctuating appetite patterns","
difficulty connecting socially","
lost joy in activities",constantly feeling overwhelmed,mental state self description,feel trapped,losing temper,health issues hinder care,constant worry when away,fear of not doing enough,work_hours,Occupations,Name,Bio,Behavior 1,Behavior 2,Behavior 3,Behavior 4,Behavior 5,Core Needs 1,Core Needs 2,Core Needs 3,Core Needs 4,Core Needs 5
60 - 69,Parent,,1 - 2 years,No,8,40,"In a home or apartment, with family or a roommate",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Below average,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,No,35,40,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,Yes,,,,Support groups,,,Support from my loved one鈥檚 physicians,,,,,,"Classes about giving care, such as giving medications",,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Good,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Parent,,1 - 2 years,Yes,15,40,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,,,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Below average,Neutral,Neutral,Disagree,Strongly agree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,Less than a year,No,10,40,"In a home or apartment, with family or a roommate",,All the care they receive is free or donated,,,,,,,No,,,,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,,,Support groups,,,Support from my loved one鈥檚 physicians,Financial support,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,,Neutral,Neutral,Disagree,Disagree,Disagree,Good,Neutral,Disagree,Disagree,Disagree,Neutral,40,Full-time employed,,,,,,,,,,,,
90+,Parent,,1 - 2 years,No,3,15,Other (please specify),Assisted Living,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,,,,"I don't direstly get any help, although her assisted living facility is good about directing us to resources for mother. ",,,,,,,,Support from my loved one鈥檚 physicians,,I trust that the assisted living physician is a good one but we find it nearly impossible to get updates directly from her about mother's health. ,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,,,,Agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Agree,Good,Strongly disagree,Strongly disagree,Neutral,Disagree,Agree,15,Part-time employed,,,,,,,,,,,,
80 - 89,Parent,,Less than a year,Yes,25,15,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,"Classes about giving care, such as giving medications",,,Individual counseling to help cope with giving care,,,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,Depression,,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Average,Disagree,Strongly disagree,Agree,Disagree,Agree,15,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,Over 5 years,Yes,20,45,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund",,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Below average,Agree,Agree,Strongly agree,Agree,Strongly agree,45,Full-time employed,,,,,,,,,,,,
30 - 39,Parent,,3 - 5 years,Yes,40,30,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,,,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Agree,Agree,Disagree,Disagree,Neutral,Agree,Poor,Disagree,Disagree,Agree,Agree,Disagree,30,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,Over 5 years,Yes,21,42,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Poor,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,42,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,Over 5 years,No,20,10,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,Yes,,"Classes about giving care, such as giving medications",Help in getting access to services,,,,,,,,None of the above,,,,,,,,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Good,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,10,Part-time employed,,,,,,,,,,,,
80 - 89,Parent,,Over 5 years,Yes,25,35,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,,,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Average,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,35,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,Yes,15,40,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,None of the above,,,,,,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,,Agree,Strongly agree,Neutral,Strongly disagree,Disagree,Agree,Good,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
50 - 59,Parent,,1 - 2 years,No,10,30,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund",,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Below average,Agree,Agree,Strongly agree,Agree,Agree,30,Part-time employed,,,,,,,,,,,,
80 - 89,Parent,,Over 5 years,Yes,10,40,"In their home or apartment, alone",,All the care they receive is free or donated,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,Individual counseling to help cope with giving care,,,,,,,,,,,,,,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,Depression,,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Average,Agree,Agree,Disagree,Disagree,Neutral,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,15,0,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,"Classes about giving care, such as giving medications",,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,None of the above,,,,,,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,Depression,,Strongly agree,Neutral,Agree,Neutral,Disagree,Strongly agree,Average,Strongly disagree,Disagree,Agree,Agree,Strongly agree,0,Retired,,,,,,,,,,,,
90+,Parent,,1 - 2 years,No,10,25,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Good,Agree,Neutral,Neutral,Agree,Agree,25,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,No,6,40,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund",,Medical insurance,,,No,,,,,Individual counseling to help cope with giving care,,,,,,,Accommodation from my employer,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Agree,Agree,Agree,Disagree,Disagree,Agree,Average,Disagree,Disagree,Neutral,Agree,Disagree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,No,5,30,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,,,,Balancing caregiving with the rest of my responsibilities or desires,,,,I need more help but don鈥檛 want to ask,,,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Good,Disagree,Disagree,Agree,Disagree,Agree,30,Part-time employed,,,,,,,,,,,,
80 - 89,Parent,,3 - 5 years,Yes,15,60,"They live with me, or another caregiver",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,,,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Average,Neutral,Neutral,Agree,Neutral,Neutral,60,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Over 5 years,No,10,63,"They live with me, or another caregiver",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,Support from my loved one鈥檚 physicians,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,irrational behavior by people being cared for,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Excellent,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,63,Full-time employed,,,,,,,,,,,,
18 - 19,Other family member,,1 - 2 years,No,15,40,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,Support groups,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,Accommodation from my employer,,,,,,,,,,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,I need more help but don鈥檛 want to ask,,,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Average,Agree,Strongly disagree,Agree,Neutral,Neutral,40,Full-time employed,,,,,,,,,,,,
60 - 69,Spouse/Partner,,1 - 2 years,Yes,60,35,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,Individual counseling to help cope with giving care,,,,,,,,Emotional stress,,,,,,Depression,,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Below average,Disagree,Neutral,Disagree,Agree,Agree,35,Part-time employed,,,,,,,,,,,,
